iter	MultiClass
0	1.902299086
1	1.865554202
2	1.83481924
3	1.798979636
4	1.770909495
5	1.751666422
6	1.726287934
7	1.703668473
8	1.68149268
9	1.661542768
10	1.64344532
11	1.626787615
12	1.614195923
13	1.598670197
14	1.579476375
15	1.56461848
16	1.55406933
17	1.545383712
18	1.530838874
19	1.516425364
20	1.506168343
21	1.495969855
22	1.482105556
23	1.471940579
24	1.462255538
25	1.450611213
26	1.435163703
27	1.426598812
28	1.416120241
29	1.405702937
30	1.396691411
31	1.383375019
32	1.375249294
33	1.366713553
34	1.356000381
35	1.347385697
36	1.340227475
37	1.329713233
38	1.32157165
39	1.316622042
40	1.309085489
41	1.300397446
42	1.290977593
43	1.284656256
44	1.279298733
45	1.271213231
46	1.265987511
47	1.260613825
48	1.251502914
49	1.247719073
50	1.243670647
51	1.238289829
52	1.232488436
53	1.225113859
54	1.220736941
55	1.218540756
56	1.211688526
57	1.204349022
58	1.194631599
59	1.186493563
60	1.180901936
61	1.173490221
62	1.167008497
63	1.158114051
64	1.152616009
65	1.149371944
66	1.145628357
67	1.138992541
68	1.133276221
69	1.128986785
70	1.122459015
71	1.115931234
72	1.112526328
73	1.108965994
74	1.104844043
75	1.100208793
76	1.094915877
77	1.089318549
78	1.085117577
79	1.081490503
80	1.07574587
81	1.070816254
82	1.067352897
83	1.063794199
84	1.060969918
85	1.056383824
86	1.050750932
87	1.047159878
88	1.042208384
89	1.037970982
90	1.035230845
91	1.030370888
92	1.025872323
93	1.021805662
94	1.016403616
95	1.010521117
96	1.005200348
97	1.001487984
98	0.9982313524
99	0.9942276723
100	0.988214382
101	0.9844607439
102	0.9809548146
103	0.9772110801
104	0.9729001573
105	0.9690937753
106	0.9662637877
107	0.9624327986
108	0.9592802324
109	0.9557939604
110	0.9515286391
111	0.9482737886
112	0.9439582898
113	0.9409401188
114	0.9377157821
115	0.9336293563
116	0.9309334178
117	0.9280232778
118	0.9247636143
119	0.9213357538
120	0.9181517157
121	0.9157459411
122	0.9115292489
123	0.908760317
124	0.906159532
125	0.902516866
126	0.8999751359
127	0.8971371433
128	0.8935131348
129	0.8903015017
130	0.8864420731
131	0.8823797034
132	0.878726964
133	0.8747434157
134	0.8712493729
135	0.8683663204
136	0.8665048073
137	0.864385632
138	0.8606981309
139	0.8576548044
140	0.854154535
141	0.8505146336
142	0.8481201446
143	0.8457338462
144	0.8415852912
145	0.8389213477
146	0.8370747329
147	0.8348666803
148	0.8323701429
149	0.8285132806
150	0.8266761718
151	0.8248092223
152	0.8217554055
153	0.8192367354
154	0.8168813531
155	0.8152087237
156	0.8134416427
157	0.8111358838
158	0.807558924
159	0.8053070699
160	0.8036347817
161	0.800543882
162	0.797602971
163	0.795312727
164	0.7916373678
165	0.7886655708
166	0.7858601505
167	0.7837950496
168	0.7813443535
169	0.7785304083
170	0.776029491
171	0.7735260199
172	0.7708495585
173	0.7692667801
174	0.7673741728
175	0.7639140675
176	0.7628405859
177	0.7605149182
178	0.7575796781
179	0.7557352614
180	0.7536767946
181	0.752274435
182	0.7494567017
183	0.7465310799
184	0.7435204492
185	0.7415736685
186	0.739407767
187	0.7368807632
188	0.734785487
189	0.7330521305
190	0.7310228815
191	0.7287270197
192	0.7274051013
193	0.7256942355
194	0.7240068032
195	0.7212731235
196	0.7195388589
197	0.7177388695
198	0.7162268215
199	0.7151693908
200	0.7130918741
201	0.7107761985
202	0.7070638669
203	0.7054917435
204	0.7037133703
205	0.7016599466
206	0.6995467166
207	0.6973004287
208	0.6965856219
209	0.6945070181
210	0.6930586163
211	0.6905051442
212	0.6873357233
213	0.685543001
214	0.6836046377
215	0.6814084015
216	0.6800534729
217	0.6780619178
218	0.6764543101
219	0.6740554599
220	0.6724379298
221	0.670386223
222	0.6683643741
223	0.6670018184
224	0.6649997254
225	0.6638387638
226	0.6621139521
227	0.660844788
228	0.6593249062
229	0.6570579809
230	0.6561176349
231	0.6539980811
232	0.6521497516
233	0.6506895489
234	0.6487302003
235	0.6468750696
236	0.645637109
237	0.6447300321
238	0.6426010054
239	0.6411891561
240	0.6388360897
241	0.6369987364
242	0.6353808985
243	0.6338306162
244	0.6326763208
245	0.631609261
246	0.6302610526
247	0.6278610468
248	0.6263539239
249	0.6256249772
250	0.6244849472
251	0.6237186755
252	0.6225517586
253	0.6213987737
254	0.6201600196
255	0.6184646057
256	0.6169263076
257	0.6148519799
258	0.6141259354
259	0.6124680623
260	0.6097013202
261	0.608060214
262	0.6071469232
263	0.6062475995
264	0.6052337835
265	0.6038382355
266	0.6029198935
267	0.6019043479
268	0.6006978031
269	0.5985881344
270	0.5966839444
271	0.5950754538
272	0.5935711129
273	0.5929991086
274	0.5913222661
275	0.5898930183
276	0.5877947975
277	0.5866405389
278	0.585889128
279	0.5849540101
280	0.5837671072
281	0.5821311018
282	0.5807964765
283	0.5796128656
284	0.5787783102
285	0.5766763087
286	0.5760018891
287	0.5752269564
288	0.574177154
289	0.5729646813
290	0.5717068203
291	0.570408626
292	0.5693981525
293	0.5677419664
294	0.5657575065
295	0.5635904618
296	0.5622125298
297	0.5605484491
298	0.5592756613
299	0.5575837911
300	0.5562165186
301	0.5544755683
302	0.5537098729
303	0.5527412279
304	0.5518875684
305	0.5511171191
306	0.5496061568
307	0.5488390238
308	0.5483896705
309	0.5470759758
310	0.5455875077
311	0.5433457823
312	0.5424196056
313	0.5417328138
314	0.5404531483
315	0.5392655655
316	0.5383755737
317	0.5377044805
318	0.5363950188
319	0.5349713746
320	0.533258305
321	0.5322790285
322	0.5311749249
323	0.5303989836
324	0.5293490249
325	0.5272245453
326	0.5259510687
327	0.5246345744
328	0.5228477536
329	0.5221028849
330	0.5208058522
331	0.5195074183
332	0.5185148357
333	0.5176864255
334	0.5163434752
335	0.515166292
336	0.5134471176
337	0.5121168931
338	0.5108753907
339	0.5095824401
340	0.50866389
341	0.507168537
342	0.50590652
343	0.5048671148
344	0.5033286494
345	0.5025831651
346	0.5014848861
347	0.5004250394
348	0.4991981645
349	0.4986961744
350	0.4969587645
351	0.4962718646
352	0.495761887
353	0.4953565074
354	0.4939697635
355	0.492655009
356	0.4913300475
357	0.4902304535
358	0.4896399059
359	0.4885114862
360	0.4875877419
361	0.4864476321
362	0.4851583341
363	0.4843529298
364	0.483600975
365	0.4831974161
366	0.4824058651
367	0.4809687359
368	0.4800639794
369	0.4792044389
370	0.4778086152
371	0.4769810633
372	0.4761456821
373	0.4748842311
374	0.4744850686
375	0.4736123391
376	0.4729185112
377	0.4719726812
378	0.4711342262
379	0.4699422946
380	0.4689098888
381	0.4678112738
382	0.4669873458
383	0.4655247749
384	0.4642056263
385	0.4624861083
386	0.4616599752
387	0.4610435396
388	0.460023561
389	0.4589001314
